customer_id,latent_0,latent_1,latent_2,latent_3
39634,0.28184402,0.5652882,-0.427807,-0.71945626
43460,0.46191248,0.44885164,-0.5682133,-0.39652783
23937,0.31265554,0.38110363,-0.57551104,-0.41807148
2431,0.4681463,0.08541461,0.1533544,-0.32519326
10090,-0.14573973,-0.45190954,-0.39449766,-0.24971734
24058,0.24307202,0.5366369,-0.25458497,-0.7084089
26709,0.2998993,0.0020588147,-0.2588656,-0.084042616
47768,0.31333134,0.1904627,-0.30082405,-0.35261387
29757,0.17462507,0.1978353,-0.3443175,-0.2659507
33207,0.43268356,0.20951588,0.20067337,-0.44114643
42493,0.18684769,-0.21777146,-0.16924149,0.19073749
24099,0.38128144,0.27692017,0.24204266,-0.46679884
27655,0.20794144,-0.07684112,-0.4505033,-0.052644834
28439,0.308193,0.19532646,-0.4834731,-0.35437596
15019,0.38595328,0.29124862,-0.46445268,-0.2236729
42461,0.3683668,0.3291528,-0.45635858,-0.31530932
13548,0.24372517,-0.33324125,-0.20356353,0.24287684
19701,0.31666505,-0.047891364,-0.44131583,-0.188905
22276,0.41589803,0.15958756,0.1716454,-0.38877898
24670,0.28592488,-0.026680134,-0.33263597,-0.06384255
12394,0.21700066,-0.17832085,-0.15730858,0.23876335
39945,-0.06242603,-0.36635277,-0.3804172,-0.03928746
21907,0.38250217,0.2793309,0.16746631,-0.4501531
39059,0.2795497,-0.03738511,-0.3912455,-0.0766089
16880,0.15726845,0.49937132,-0.3035738,-0.64112014
28426,0.25912157,0.61182123,-0.43284994,-0.76313496
33151,0.45359784,-0.085817866,-0.41648084,-0.04209731
21623,0.25783417,-0.043739706,-0.30790243,-0.11069038
37350,0.15945132,0.5738122,-0.41015893,-0.61276287
2884,0.33812574,-0.07083558,-0.24406455,-0.083178096
39427,0.28985456,-0.21032341,-0.033248592,0.18371144
9304,0.32422966,0.11406965,-0.4245897,-0.3421497
1833,0.37652433,0.23012131,0.20069283,-0.406322
33425,0.36710906,0.24294856,0.06466967,-0.40017372
2030,0.29585943,0.074686185,-0.25624716,-0.28257275
18510,0.40035558,0.278108,-0.5357272,-0.27674067
30234,0.38888142,0.1659902,0.024858113,-0.31411815
16910,0.35458326,0.09046798,0.074407056,-0.16514894
35254,0.3446751,0.31195074,-0.34944335,-0.28108132
35404,0.21808435,-0.08755498,-0.43342268,0.0015097769
40311,0.38656503,-0.023186797,-0.29406416,-0.09669171
39469,0.28678122,-0.21547356,-0.21937338,0.072660625
11796,0.27498817,-0.06484267,-0.3962549,-0.057885163
19908,0.40722984,0.1245121,-0.5020835,-0.289068
49813,0.25741252,0.2658391,-0.29752222,-0.23519675
29867,0.3654309,0.07730909,-0.48333374,-0.30425206
22350,0.44535017,0.38387164,-0.5642117,-0.39136297
39087,0.27463394,0.23368295,-0.38243443,-0.25926304
9042,0.17083715,0.23376386,-0.33329993,-0.37917995
19871,0.41106126,0.2702084,0.21684156,-0.4624866
49145,0.39568862,0.13124968,-0.3226502,-0.33132267
29418,0.23639134,-0.02170876,-0.37017834,-0.046183467
35626,0.27727655,0.54015905,-0.5151882,-0.7530268
48729,0.2510346,0.19910221,0.13545229,-0.30835837
18125,0.2908414,-0.01510351,-0.35968775,-0.15990824
26769,0.25014874,-0.085707515,-0.3555565,-0.094989456
49776,0.3345,0.010964091,-0.28939748,-0.046877276
34352,0.23644675,-0.009143243,-0.34316316,-0.037847526
14841,0.34230855,0.10439051,-0.43006185,-0.22142623
46366,0.44348955,0.62808895,-0.43718532,-0.6427728
35051,0.10510125,0.286064,-0.3179675,-0.31003585
43511,0.20885408,0.08453623,-0.30451784,-0.2543316
32771,0.15103096,0.1849604,-0.4502144,-0.26656955
14762,0.31334147,0.010949824,-0.26967475,-0.07543668
16396,0.23241536,-0.012304248,-0.44840658,-0.025068488
24461,0.28439906,0.05882579,-0.26088354,0.010621347
41634,0.30771187,0.006331522,-0.37996995,-0.23480798
39977,0.3726934,0.16019231,0.13714337,-0.25372785
39132,0.1747758,0.17110258,-0.46418938,-0.20540819
14871,0.4035112,0.00993891,-0.34386873,-0.10995022
48615,0.28904858,-0.27329287,0.0032912148,0.2382607
15825,0.34008434,0.029246034,-0.37174138,-0.10043958
8186,0.37305403,0.18952286,-0.47815058,-0.31633562
46314,0.4328831,0.37933683,-0.4055048,-0.39835113
20325,0.45690268,0.39426687,-0.4374313,-0.3108571
21570,0.43537578,0.15544151,0.17779945,-0.37924334
4108,0.3862306,0.19574948,0.057270195,-0.41927215
3012,0.29936144,-0.022395544,-0.39292288,-0.22669493
48725,0.39174715,0.30735782,0.08127215,-0.432703
36988,0.39282268,0.17331547,-0.43189943,-0.33543617
6054,0.39640024,0.21573064,-0.33691227,-0.3402215
30382,0.45229495,0.16253941,-0.46246266,-0.3713158
16781,0.3023323,0.2750288,-0.3978263,-0.3721624
15338,0.27626932,-0.070138454,-0.40114576,-0.132461
