customer_id,age,percentage_of_products_bought_promotion,spend_alcohol_drinks,spend_electronics,spend_fish,spend_groceries,spend_hygiene,spend_meat,spend_nonalcohol_drinks,spend_petfood,spend_vegetables,spend_videogames,total_distinct_products,typical_hour,years_as_customer,frequency,monetary,spend_groceries_proportion,spend_electronics_proportion,spend_vegetables_proportion,spend_nonalcohol_drinks_proportion,spend_alcohol_drinks_proportion,spend_meat_proportion,spend_fish_proportion,spend_hygiene_proportion,spend_videogames_proportion,spend_petfood_proportion,loyalty_member,gender_binary,has_offspring,has_complaints,has_educ
48086,0.3239852986155656,-1.9591214876877538,-0.810496323681633,-1.0390739554602417,10.070018782808113,1.9658019413494003,-1.4946531719460998,-0.9289341748921611,-0.6816236459217897,-1.5806277776446875,-0.5967268070238633,-1.4710639600591067,-1.465907521410848,-1.5968119911827539,0.1687480189810071,-1.1680723092197165,3.4064882483411023,-1.159994173390773,-1.8135757169044284,-1.2606348669454557,-2.0262405392043554,-1.3340371508287705,-1.4186470569722722,5.021026117958029,-2.3250155911111,-2.2296594568452615,-2.403965532478654,0,1,0,0,0
31838,0.4777095708649845,-4.77061844445915,-1.272289936902895,-0.9200448249483594,9.735575392077072,1.7895766250886633,-1.4143967340079093,-1.1826799675396293,0.132226536038846,-1.5806277776446875,-0.30297574382079456,-1.4710639600591067,-1.3424081803204782,-1.0200793864937492,0.1687480189810071,2.0485046445344355,3.2231641694990443,-1.2057453185152132,-1.7175139746536852,-1.1648027776434537,-1.7306561552290805,-1.5091157387924505,-1.539854041797685,5.0257130973482615,-2.2706874332588383,-2.2296594568452615,-2.4039655331028005,1,0,0,0,0
41519,0.8220909912629942,-0.933372818304582,-0.9821354984542916,-0.8186290391800688,8.828858850390448,1.9182329400450444,-1.2436615778213438,-0.9251485110577168,-0.7287144779264226,-1.5806277776446875,-1.29822122591862,-1.4710639600591067,-1.2521749053090723,-1.0200793864937492,-0.5668619655315517,0.976312326616385,2.8966186334038455,-0.7988164594884871,-1.6195850494820803,-1.4081947245838788,-1.9465832816404172,-1.3710443518790405,-1.3865743504200903,4.8343029460920315,-2.149522159577214,-2.2296594568452615,-2.4039655345209523,0,0,0,0,0
41076,1.4605940815115082,-1.7064783930955805,-1.03627536298618,-0.5963697636440939,8.213773146372532,1.9824355245977068,-1.5036201274381604,-0.6499538865371834,-0.8928106238911946,-1.5806277776446875,0.034539110359282935,-1.4710639600591067,-1.2429561966588418,-0.2645013372336306,0.33408664262780435,-0.0958799913016657,2.7064047049630555,-0.5517585249715835,-1.421780770096647,-1.0035638051057936,-1.9648973346107206,-1.3822246486728946,-1.2178522299570003,4.654237218836047,-2.2817578205856415,-2.2296594568452615,-2.403965535632163,0,0,0,0,0
43120,-0.39441432505550544,-0.9531310507321253,-0.8460789244641811,-0.7732478707677144,8.912098865764687,2.246660759372126,-1.8645262475719793,-0.9844151613159798,-0.35808554061255976,-1.5806277776446875,-0.31837021420395345,-1.4710639600591067,-1.3879572066707815,-1.0200793864937492,0.1687480189810071,-1.1680723092197165,3.0550649641444743,-0.5760853142699737,-1.5947389774080352,-1.1499487793104377,-1.854443918426656,-1.324275663588646,-1.4280992793100113,4.706158688405093,-2.5047824824932854,-2.2296594568452615,-2.4039655337734622,0,0,0,0,0
3647,1.0108225356009177,-0.6211413401767079,-1.0475459062891743,-0.8768785828203175,8.479138038167859,1.7909705646203198,-1.3828885467992797,-0.8992299272920296,-0.9749310729634846,-1.5806277776446875,1.1296352024460883,-1.4710639600591067,-1.4000408749225237,-1.4754530160506174,0.6479154023286932,-1.1680723092197165,2.7457678845203857,-0.8093850432042162,-1.6569612829875042,-0.6911703285618317,-2.0017825201627475,-1.389769571980118,-1.3619846213689208,4.783997309878737,-2.2149031308762135,-2.2296594568452615,-2.40396553537765,1,1,0,0,0
29825,0.1125809628683189,-4.182673585832264,-0.9665461200577281,-0.9772802772488242,9.497197279078396,1.4873903554910655,-1.390654093316275,-0.89200148746849,-0.9494323374462447,-1.5806277776446875,-1.3440005476393544,-1.4710639600591067,-1.5450507423663271,0.808386471065005,-0.36973073664968825,0.34823660825223623,3.0155683365587795,-1.373669178851256,-1.7520752034841942,-1.4294508393226009,-2.044014451306619,-1.3721149003758428,-1.376306790132825,5.120000684761079,-2.2420268476792553,-2.2296594568452615,-2.403965533947919,1,0,0,0,0
637,0.5280931997447661,-1.6566606624342168,-0.7184393068298621,-0.8545304085911635,8.224652351946832,1.4428107697504693,-1.8300795214278731,-0.9289341748921611,-0.9749310729634846,-1.5806277776446875,-1.9075274018106907,-1.4710639600591067,-1.2249168542657733,0.808386471065005,0.1687480189810071,0.6890192608993896,2.484725653170741,-0.9837288122747455,-1.6202603895014616,-1.561414833439525,-1.9476736525635152,-1.219708092364781,-1.3601421022665612,4.934012077181566,-2.46228537474337,-2.2296594568452615,-2.4039655374511244,1,0,0,0,0
22356,0.3239852986155656,-0.9214751993167672,-1.6521496604145223,-0.873614200342967,8.477624603314588,1.7008254559844405,-1.540661151035465,-0.89200148746849,-0.26327855842916,-1.5806277776446875,-1.9527458745088488,-1.4710639600591067,-1.3210616496711969,-0.7558841458197286,0.33408664262780435,0.34823660825223623,2.6740351256510353,-0.8491736041317197,-1.649628831523806,-1.5838838351460487,-1.7341150762570028,-1.655585184006447,-1.352717994339592,4.869705102937042,-2.3009649104665626,-2.2296594568452615,-2.4039655358533443,1,1,0,0,0
25919,-0.4538334111589247,-1.4377457790985126,-1.3578514865168991,-0.9128143655214233,9.407645886194246,1.8704499534643257,-1.7689182232589098,-1.0937661326607357,-0.6933346064867818,-1.5806277776446875,-1.4691176693693866,-1.4710639600591067,-1.3424081803204782,0.808386471065005,0.33408664262780435,0.6890192608993896,3.0951508737856352,-1.018704599307224,-1.7056119649826234,-1.469007147544759,-1.973624452852933,-1.5395566898963389,-1.4881817611878345,4.9703700904791255,-2.454118780527979,-2.2296594568452615,-2.4039655336034698,1,1,0,0,0
