customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary,frequency,monetary,spend_groceries_proportion,spend_electronics_proportion,spend_vegetables_proportion,spend_nonalcohol_drinks_proportion,spend_alcohol_drinks_proportion,spend_meat_proportion,spend_fish_proportion,spend_hygiene_proportion,spend_videogames_proportion,spend_petfood_proportion,has_offspring,has_complaints,has_educ
10090,0.0,0.0,0.0,1.0,697.0,570.0,,8.0,33.0,2833.0,54.0,172.0,587.0,223.0,64.0,4.0,0.1810232694350113,22,1,0.0,12,1,1.0,5241.0,0.13298988742606374,0.10875787063537493,0.0015264262545315779,0.006296508299942759,0.540545697385995,0.01030337721808815,0.032818164472428926,0.11200152642625454,0.042549131845067735,0.012211410036252623,0,0,0
39945,0.0,0.0,0.0,1.0,910.0,397.0,9.0,402.0,458.0,3449.0,375.0,39.0,544.0,378.0,131.0,15.0,0.1099065522273793,24,0,2.0,12,0,2.0,7083.0,0.12847663419455033,0.056049696456303824,0.056755612028801354,0.06466186644077368,0.4869405619087957,0.0529436679373147,0.005506141465480729,0.07680361428773119,0.053367217280813214,0.018494987999435268,0,0,0
36628,1.0,0.0,0.0,1.0,157.0,668.0,19.0,120.0,570.0,365.0,268.0,158.0,493.0,332.0,90.0,9.0,0.031294869374775,22,0,4.0,12,0,3.0,3221.0,0.048742626513505125,0.20738900962434026,0.03725551071095933,0.1769636758770568,0.11331884507916797,0.0832039739211425,0.04905308910276312,0.15305805650419124,0.10307357963365414,0.027941633033219497,1,0,0
30647,1.0,0.0,0.0,1.0,958.0,487.0,15.0,1.0,928.0,1308.0,19.0,168.0,343.0,332.0,104.0,18.0,0.3217018483160002,22,0,0.0,12,1,7.0,4648.0,0.20611015490533563,0.10477624784853701,0.0002151462994836489,0.19965576592082615,0.28141135972461273,0.004087779690189329,0.03614457831325301,0.07379518072289157,0.07142857142857142,0.022375215146299483,1,0,0
4234,0.0,0.0,0.0,1.0,673.0,682.0,,78.0,732.0,3754.0,66.0,117.0,475.0,606.0,126.0,64.0,-0.0599295338104775,25,1,2.0,12,1,3.0,7309.0,0.09207825967984676,0.09330961827883431,0.010671774524558763,0.1001504993843207,0.5136133533999179,0.00902996305924203,0.016007661786838146,0.06498837050212067,0.082911478998495,0.017239020385825695,0,0,0
44210,0.0,0.0,0.0,2.0,746.0,385.0,22.0,35.0,460.0,425.0,345.0,348.0,336.0,19.0,69.0,65.0,0.0002039215072855,23,0,0.0,12,1,0.0,3168.0,0.23547979797979798,0.12152777777777778,0.011047979797979798,0.1452020202020202,0.13415404040404041,0.10890151515151515,0.10984848484848485,0.10606060606060606,0.005997474747474747,0.021780303030303032,0,0,0
46299,1.0,0.0,0.0,1.0,665.0,654.0,23.0,7.0,106.0,2185.0,421.0,349.0,454.0,181.0,110.0,41.0,0.1887683713164495,22,0,0.0,12,0,0.0,5132.0,0.12957911145752143,0.127435697583788,0.0013639906469212783,0.020654715510522212,0.42575993764614184,0.08203429462197974,0.06800467653936088,0.08846453624318004,0.0352689010132502,0.021434138737334373,1,0,0
9072,0.0,0.0,0.0,1.0,1182.0,552.0,21.0,344.0,922.0,2324.0,181.0,62.0,360.0,282.0,124.0,43.0,0.1243478650528955,24,1,2.0,12,1,0.0,6333.0,0.18664140217906205,0.08716248223590715,0.05431864834991315,0.14558660982156957,0.3669666824569714,0.028580451602715932,0.009789988946786673,0.05684509711037423,0.04452865940312648,0.019579977893573346,0,0,0
957,0.0,0.0,0.0,1.0,592.0,399.0,19.0,53.0,1120.0,1618.0,320.0,194.0,349.0,355.0,122.0,46.0,0.1700952471034278,24,1,7.0,20,0,6.0,5122.0,0.11557985162046076,0.07789925810230379,0.010347520499804764,0.21866458414681764,0.3158922295978134,0.06247559547051933,0.03787582975400234,0.06813744631003514,0.06930886372510738,0.023818820773135494,0,0,1
15859,0.0,0.0,0.0,1.0,806.0,500.0,18.0,57.0,51.0,1384.0,274.0,89.0,333.0,114.0,34.0,38.0,0.3102117889564258,22,1,4.0,12,1,5.0,3642.0,0.2213069741900055,0.1372872048325096,0.015650741350906095,0.01400329489291598,0.3800109829763866,0.07523338824821527,0.02443712246018671,0.0914332784184514,0.03130148270181219,0.009335529928610654,0,0,0
