customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary,frequency,monetary,spend_groceries_proportion,spend_electronics_proportion,spend_vegetables_proportion,spend_nonalcohol_drinks_proportion,spend_alcohol_drinks_proportion,spend_meat_proportion,spend_fish_proportion,spend_hygiene_proportion,spend_videogames_proportion,spend_petfood_proportion,has_offspring,has_complaints,has_educ
26709,0.0,1.0,1.0,6.0,2064.0,105.0,13.0,255.0,217.0,257.0,348.0,700.0,536.0,495.0,679.0,350.0,0.4669865756228293,33,1,10.0,12,0,0.0,5656.0,0.3649222065063649,0.018564356435643563,0.04508486562942009,0.038366336633663366,0.04543847241867044,0.06152758132956153,0.12376237623762376,0.09476661951909476,0.08751768033946251,0.12004950495049505,1,0,0
27655,1.0,0.0,1.0,2.0,2017.0,158.0,13.0,447.0,346.0,374.0,244.0,549.0,688.0,418.0,701.0,368.0,0.5564968535239753,62,1,12.0,12,0,10.0,5942.0,0.33944799730730396,0.026590373611578594,0.07522719623022552,0.058229552339279705,0.06294177044766072,0.041063614944463145,0.09239313362504208,0.11578593066307641,0.07034668461797375,0.11797374621339617,1,0,0
24670,0.0,1.0,1.0,4.0,1797.0,274.0,13.0,249.0,332.0,247.0,237.0,554.0,355.0,418.0,664.0,245.0,0.5627610674438382,69,1,15.0,12,1,1.0,5127.0,0.3504973668812171,0.05344255900136532,0.04856641310708017,0.06475521747610688,0.04817632143553735,0.04622586307782329,0.10805539301735909,0.06924127169884924,0.08152915935244782,0.12951043495221376,1,0,0
39059,0.0,1.0,1.0,3.0,2060.0,72.0,14.0,257.0,261.0,396.0,532.0,964.0,386.0,219.0,801.0,19.0,0.4196354728342465,52,1,12.0,12,1,3.0,5948.0,0.34633490248823134,0.0121049092131809,0.04320780094149294,0.043880295897780766,0.06657700067249496,0.0894418291862811,0.1620712844653665,0.06489576328177539,0.036819098856758575,0.13466711499663753,1,0,0
33151,1.0,1.0,1.0,2.0,207.0,590.0,20.0,280.0,875.0,487.0,1066.0,1684.0,217.0,389.0,197.0,616.0,0.2979392928611438,30,0,13.0,12,1,1.0,5992.0,0.03454606141522029,0.09846461949265688,0.04672897196261682,0.14602803738317757,0.08127503337783712,0.17790387182910547,0.281041388518024,0.036214953271028034,0.06491989319092123,0.03287716955941255,1,0,0
21623,0.0,1.0,0.0,3.0,1909.0,230.0,16.0,72.0,365.0,240.0,315.0,614.0,654.0,618.0,466.0,179.0,0.4258043422997896,82,1,6.0,12,1,1.0,5483.0,0.3481670618274667,0.04194783877439358,0.013131497355462337,0.06656939631588546,0.04377165785154113,0.05745030093014773,0.11198249133685938,0.11927776764544958,0.1127120189677184,0.08498996899507569,1,0,0
2884,1.0,1.0,0.0,2.0,2364.0,469.0,18.0,465.0,618.0,841.0,103.0,856.0,389.0,638.0,518.0,516.0,0.221276327426637,44,1,14.0,15,1,0.0,7261.0,0.32557498967084425,0.06459165404214295,0.06404076573474728,0.08511224349263187,0.11582426662994078,0.014185373915438644,0.11789009778267456,0.05357388789422945,0.08786668502961024,0.07134003580773998,1,0,1
35404,1.0,0.0,1.0,2.0,1549.0,458.0,11.0,317.0,271.0,303.0,156.0,563.0,923.0,620.0,174.0,146.0,-0.0413517968143744,41,0,12.0,12,0,9.0,5334.0,0.2904011998500187,0.08586426696662917,0.05943007124109486,0.05080614923134608,0.05680539932508436,0.02924634420697413,0.10554930633670791,0.1730408698912636,0.11623547056617922,0.03262092238470191,1,0,0
40311,1.0,1.0,1.0,5.0,2067.0,260.0,17.0,263.0,308.0,298.0,439.0,477.0,554.0,507.0,567.0,418.0,0.3553889927858661,74,0,19.0,12,1,0.0,5740.0,0.36010452961672473,0.04529616724738676,0.045818815331010454,0.05365853658536585,0.05191637630662021,0.0764808362369338,0.08310104529616724,0.09651567944250872,0.08832752613240417,0.09878048780487805,1,0,0
11796,1.0,0.0,0.0,2.0,460.0,337.0,15.0,27.0,406.0,124.0,183.0,782.0,650.0,343.0,637.0,261.0,0.2063669829690892,29,1,7.0,12,0,4.0,3949.0,0.11648518612306913,0.08533806026842239,0.006837173968093188,0.10281083818688276,0.03140035452013168,0.04634084578374272,0.1980248164092175,0.16459863256520638,0.08685743226133198,0.16130665991390225,1,0,0
