customer_id,cluster
39634,2.0
43460,3.0
23937,3.0
2431,1.0
10090,4.0
24058,2.0
26709,5.0
47768,7.0
29757,7.0
33207,1.0
42493,0.0
24099,1.0
27655,5.0
28439,7.0
15019,3.0
42461,3.0
13548,0.0
19701,7.0
22276,1.0
24670,5.0
12394,0.0
39945,4.0
21907,1.0
39059,5.0
16880,2.0
28426,2.0
33151,5.0
21623,5.0
37350,2.0
2884,5.0
39427,0.0
9304,7.0
1833,1.0
33425,1.0
2030,7.0
18510,3.0
30234,1.0
16910,1.0
35254,3.0
35404,5.0
40311,5.0
39469,0.0
11796,5.0
19908,7.0
49813,3.0
29867,7.0
22350,3.0
39087,7.0
9042,6.0
19871,1.0
49145,7.0
29418,5.0
35626,2.0
48729,1.0
18125,7.0
26769,5.0
49776,5.0
34352,5.0
14841,7.0
46366,2.0
35051,6.0
43511,7.0
32771,7.0
14762,5.0
16396,5.0
24461,5.0
41634,7.0
39977,1.0
39132,3.0
14871,5.0
48615,0.0
15825,5.0
8186,7.0
46314,3.0
20325,3.0
21570,1.0
4108,1.0
3012,7.0
48725,1.0
36988,7.0
6054,7.0
30382,7.0
16781,6.0
15338,5.0
25509,0.0
10857,7.0
21840,3.0
32685,2.0
36010,5.0
33428,1.0
14887,6.0
20257,0.0
2780,7.0
5728,0.0
11534,7.0
35858,2.0
21694,2.0
41179,5.0
48271,7.0
21585,5.0
23148,2.0
46147,1.0
1117,7.0
22643,3.0
23396,6.0
34592,5.0
21335,5.0
28627,7.0
17642,7.0
23208,5.0
48259,0.0
29207,5.0
34391,7.0
22301,0.0
41984,5.0
28540,5.0
29573,7.0
13506,5.0
34540,5.0
44552,7.0
40461,5.0
6629,5.0
22914,5.0
21878,1.0
39703,3.0
41077,0.0
23538,1.0
10776,6.0
36628,4.0
28688,6.0
30647,4.0
40267,0.0
26317,0.0
40469,5.0
16348,5.0
17727,0.0
10271,5.0
5338,3.0
14456,3.0
17042,7.0
39959,3.0
18565,6.0
26957,5.0
31437,3.0
39168,1.0
5499,0.0
40168,2.0
13803,7.0
15858,5.0
26159,5.0
44390,2.0
30626,5.0
13597,3.0
28137,6.0
20894,7.0
1350,7.0
20116,1.0
48048,2.0
24173,0.0
5715,5.0
48086,8.0
17715,3.0
12267,1.0
1224,5.0
27752,6.0
48406,7.0
33738,0.0
12610,2.0
27379,6.0
6228,7.0
20600,5.0
6485,5.0
1528,7.0
11791,3.0
25752,3.0
11560,5.0
30102,5.0
33938,1.0
29451,2.0
45413,1.0
32109,5.0
26394,5.0
24795,5.0
15351,5.0
30168,5.0
23964,3.0
47710,5.0
47418,5.0
35873,5.0
27189,5.0
8190,2.0
46991,2.0
2816,5.0
31645,1.0
29739,5.0
21819,7.0
17669,5.0
49303,3.0
37229,5.0
25940,2.0
20125,2.0
32785,0.0
31838,8.0
23998,1.0
47644,7.0
23301,2.0
40807,7.0
33205,0.0
46793,5.0
12182,3.0
48607,0.0
46748,1.0
15560,5.0
18464,5.0
33179,3.0
30444,5.0
16031,5.0
21329,0.0
31104,5.0
27702,2.0
48360,5.0
43287,0.0
15298,7.0
21318,2.0
15483,5.0
4234,4.0
44210,4.0
8019,5.0
6229,0.0
34796,7.0
11679,7.0
48060,5.0
46913,1.0
3433,3.0
14772,2.0
8988,0.0
40712,7.0
35711,5.0
7922,2.0
28475,5.0
45129,5.0
5753,0.0
32976,5.0
47139,2.0
26282,5.0
39798,6.0
47342,7.0
30275,5.0
34001,2.0
46299,4.0
4876,1.0
12777,0.0
33438,5.0
35747,7.0
13288,5.0
3053,3.0
24648,7.0
36914,7.0
22964,5.0
4072,3.0
23102,7.0
44387,6.0
32484,2.0
13793,5.0
42903,2.0
28454,3.0
19201,5.0
1615,0.0
32428,2.0
8834,3.0
5326,1.0
42118,5.0
41144,2.0
7302,0.0
34453,5.0
44902,3.0
47157,5.0
30006,5.0
40592,5.0
29713,7.0
23287,2.0
26980,5.0
23838,0.0
38010,5.0
9072,4.0
35548,7.0
4093,5.0
46609,5.0
13823,5.0
30107,0.0
5054,3.0
4669,0.0
44021,5.0
4351,0.0
24255,2.0
15855,0.0
31422,5.0
39993,7.0
23180,5.0
21865,6.0
11730,2.0
48982,7.0
41519,8.0
39062,5.0
957,4.0
11773,5.0
14371,2.0
21282,3.0
47970,5.0
11625,6.0
15859,4.0
43757,5.0
32179,5.0
38221,3.0
49324,2.0
23398,7.0
46236,7.0
46097,0.0
36410,7.0
47119,0.0
45520,0.0
45010,2.0
4218,0.0
33405,7.0
21927,7.0
20927,3.0
14094,0.0
31494,5.0
43014,7.0
48409,5.0
3054,3.0
16179,0.0
27983,0.0
45444,0.0
47479,6.0
7623,0.0
905,3.0
1029,2.0
44109,5.0
49598,4.0
10697,3.0
33619,5.0
40101,0.0
9687,5.0
19037,5.0
7027,7.0
10399,6.0
29146,5.0
20342,7.0
19823,5.0
13334,3.0
17408,5.0
2541,7.0
15319,2.0
22957,0.0
27687,2.0
23036,0.0
33400,5.0
27657,1.0
44933,0.0
36428,5.0
16946,7.0
35063,2.0
24769,7.0
44224,2.0
25739,0.0
44391,0.0
10577,3.0
22042,4.0
6631,2.0
47640,5.0
39194,0.0
21170,1.0
45863,7.0
39079,0.0
28363,0.0
5406,5.0
5608,5.0
43608,7.0
671,0.0
24233,6.0
14485,2.0
30564,5.0
12023,7.0
2522,5.0
26021,0.0
22850,1.0
12820,2.0
5987,0.0
25084,2.0
36405,3.0
30240,5.0
16069,6.0
45259,0.0
17146,3.0
34458,5.0
3436,1.0
33292,5.0
6992,5.0
38492,6.0
26860,7.0
19192,5.0
20367,5.0
8703,5.0
41183,0.0
45227,7.0
15452,6.0
31679,5.0
10199,1.0
22376,5.0
12971,1.0
5641,3.0
32102,7.0
34800,7.0
36923,6.0
3405,2.0
46369,2.0
