customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary,frequency,monetary,spend_groceries_proportion,spend_electronics_proportion,spend_vegetables_proportion,spend_nonalcohol_drinks_proportion,spend_alcohol_drinks_proportion,spend_meat_proportion,spend_fish_proportion,spend_hygiene_proportion,spend_videogames_proportion,spend_petfood_proportion,has_offspring,has_complaints,has_educ
42493,1.0,,,1.0,2382.0,653.0,9.0,1010.0,232.0,46.0,0.0,1.0,250.0,201.0,450.0,69.0,0.1267202466218703,26,0,4.0,12,0,2.0,5225.0,0.45588516746411484,0.12497607655502392,0.19330143540669856,0.04440191387559809,0.008803827751196171,0.0,0.00019138755980861245,0.04784688995215311,0.038468899521531104,0.0861244019138756,0,0,0
13548,1.0,0.0,0.0,1.0,3724.0,125.0,14.0,1085.0,261.0,50.0,2.0,2.0,313.0,390.0,525.0,42.0,0.2601224524026374,39,1,12.0,15,0,5.0,6477.0,0.5749575420719469,0.01929905820595955,0.1675158252277289,0.04029643353404354,0.0077196232823838196,0.0003087849312953528,0.0003087849312953528,0.04832484174772271,0.06021306160259379,0.0810560444650301,1,0,1
12394,1.0,0.0,0.0,1.0,2932.0,677.0,6.0,869.0,383.0,98.0,0.0,1.0,706.0,109.0,515.0,139.0,0.1742914332085685,40,1,14.0,20,1,1.0,6290.0,0.4661367249602544,0.10763116057233704,0.13815580286168522,0.06089030206677266,0.015580286168521463,0.0,0.0001589825119236884,0.112241653418124,0.017329093799682036,0.08187599364069953,1,0,1
39427,1.0,0.0,0.0,2.0,2515.0,233.0,11.0,1008.0,458.0,225.0,1.0,1.0,285.0,113.0,547.0,277.0,0.197797752824863,78,0,12.0,12,1,0.0,5386.0,0.4669513553657631,0.043260304493130335,0.18715187523208318,0.0850352766431489,0.04177497215001857,0.0001856665428889714,0.0001856665428889714,0.05291496472335685,0.02098031934645377,0.10155959896026737,1,0,0
39469,1.0,0.0,1.0,1.0,2518.0,1365.0,17.0,605.0,298.0,163.0,2.0,2.0,666.0,146.0,534.0,260.0,0.2337694439615666,56,0,10.0,12,0,1.0,6299.0,0.3997459914272107,0.21670106366089856,0.09604699158596602,0.04730909668201302,0.025877123352913162,0.00031751071598666456,0.00031751071598666456,0.1057310684235593,0.023178282267026513,0.08477536116843944,1,0,0
48615,1.0,1.0,1.0,1.0,3671.0,25.0,12.0,1240.0,296.0,146.0,1.0,0.0,643.0,135.0,443.0,374.0,0.3763503996314949,73,0,12.0,12,0,0.0,6600.0,0.5562121212121212,0.003787878787878788,0.18787878787878787,0.044848484848484846,0.02212121212121212,0.00015151515151515152,0.0,0.09742424242424243,0.020454545454545454,0.06712121212121212,1,0,0
25509,1.0,1.0,0.0,1.0,2788.0,47.0,7.0,1224.0,119.0,146.0,2.0,3.0,732.0,93.0,400.0,102.0,0.1722892414416142,80,0,13.0,12,1,2.0,5554.0,0.5019805545552755,0.008462369463449766,0.22038170687792583,0.021425999279798342,0.02628736046092906,0.00036010082823190496,0.0005401512423478574,0.1317969031328772,0.01674468851278358,0.07202016564638099,1,0,0
20257,1.0,1.0,1.0,1.0,3639.0,565.0,6.0,945.0,346.0,87.0,0.0,1.0,622.0,47.0,504.0,88.0,0.0827882127586524,35,1,13.0,12,1,2.0,6756.0,0.5386323268206039,0.08362936648904677,0.13987566607460036,0.051213735938425105,0.012877442273534635,0.0,0.00014801657785671994,0.09206631142687981,0.006956779159265838,0.07460035523978685,1,0,0
5728,1.0,0.0,0.0,1.0,3849.0,923.0,12.0,1152.0,448.0,300.0,0.0,0.0,124.0,39.0,416.0,99.0,0.249504503963714,73,1,15.0,17,1,0.0,7251.0,0.5308233347124535,0.12729278720176526,0.15887463798096815,0.061784581437043164,0.04137360364087712,0.0,0.0,0.017101089504895875,0.005378568473314025,0.05737139704868294,1,0,1
48259,1.0,1.0,0.0,2.0,3617.0,944.0,6.0,1159.0,443.0,199.0,2.0,0.0,312.0,228.0,703.0,233.0,0.1393255221579385,78,0,17.0,12,1,0.0,7607.0,0.4754831076639937,0.12409622715919548,0.15235966872617326,0.058235835414749575,0.02616011568292362,0.0002629157355067701,0.0,0.04101485473905613,0.02997239384777179,0.09241488103062968,1,0,0
22301,1.0,1.0,1.0,1.0,3522.0,724.0,10.0,983.0,256.0,53.0,1.0,2.0,281.0,108.0,360.0,298.0,0.037717433633379,57,1,13.0,12,1,1.0,6290.0,0.5599364069952305,0.1151033386327504,0.1562798092209857,0.04069952305246423,0.008426073131955486,0.0001589825119236884,0.0003179650238473768,0.04467408585055644,0.017170111287758347,0.057233704292527825,1,0,0
41077,1.0,1.0,1.0,1.0,1886.0,139.0,,762.0,459.0,287.0,0.0,0.0,378.0,29.0,614.0,117.0,0.1328015050778327,59,0,18.0,12,1,1.0,4554.0,0.41414141414141414,0.03052261747913922,0.1673254281949934,0.1007905138339921,0.06302151954325867,0.0,0.0,0.08300395256916997,0.006368028107158542,0.13482652613087395,1,0,0
40267,1.0,1.0,1.0,1.0,2843.0,340.0,17.0,1111.0,386.0,108.0,0.0,0.0,382.0,155.0,607.0,265.0,0.2061401511244813,83,0,13.0,12,0,0.0,5932.0,0.47926500337154415,0.057316250842886045,0.1872892784895482,0.0650708024275118,0.01820633850303439,0.0,0.0,0.06439649359406609,0.02612946729602158,0.10232636547538773,1,0,0
