customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary,frequency,monetary,spend_groceries_proportion,spend_electronics_proportion,spend_vegetables_proportion,spend_nonalcohol_drinks_proportion,spend_alcohol_drinks_proportion,spend_meat_proportion,spend_fish_proportion,spend_hygiene_proportion,spend_videogames_proportion,spend_petfood_proportion
47768,5.0,1.0,1.0,1.0,4951.0,3426.0,17.0,538.0,536.0,288.0,1417.0,640.0,168.0,1147.0,945.0,467.0,0.1986541225478911,52,0,20.0,12,0,0.0,14056.0,0.35223392145702903,0.243739328400683,0.03827546955036995,0.03813318155947638,0.020489470688673878,0.10081104154809334,0.045532157085941945,0.01195219123505976,0.08160216277746159,0.06723107569721115
29757,2.0,1.0,2.0,2.0,6804.0,3240.0,9.0,555.0,581.0,396.0,1513.0,2161.0,701.0,601.0,197.0,369.0,0.0932533113788508,29,1,7.0,12,0,2.0,16749.0,0.4062332079527136,0.19344438473938744,0.03313630664517284,0.03468863812764941,0.023643202579258463,0.09033375126873246,0.12902262821660995,0.04185324496984895,0.035882739268016,0.011761896232610902
28439,6.0,2.0,1.0,1.0,4965.0,1938.0,17.0,398.0,415.0,373.0,66.0,1853.0,1310.0,938.0,1019.0,496.0,0.188828202324978,40,1,16.0,12,1,5.0,13275.0,0.37401129943502825,0.14598870056497176,0.02998116760828625,0.031261770244821095,0.028097928436911487,0.004971751412429379,0.13958568738229754,0.09868173258003766,0.07065913370998117,0.07676082862523541
19701,1.0,2.0,1.0,1.0,3728.0,115.0,22.0,476.0,507.0,290.0,849.0,1319.0,1179.0,389.0,1520.0,21.0,0.1662520615849531,67,1,15.0,12,1,5.0,10372.0,0.35942923254917086,0.011087543386039336,0.045892788276128034,0.04888160431932125,0.027959892016968763,0.08185499421519475,0.1271693019668338,0.11367142306209024,0.03750482067103741,0.14654839953721557
9304,3.0,1.0,0.0,1.0,3644.0,1703.0,21.0,417.0,489.0,103.0,1575.0,618.0,281.0,969.0,1390.0,488.0,0.3111706893648046,60,1,13.0,17,1,3.0,11189.0,0.3256770042005541,0.15220305657342031,0.03726874608990973,0.04370363750111717,0.009205469657699526,0.14076324962016265,0.05523281794619716,0.025113951202073465,0.08660291357583341,0.12422915363303244
2030,1.0,1.0,1.0,1.0,5501.0,2233.0,20.0,595.0,501.0,412.0,583.0,698.0,1492.0,878.0,794.0,146.0,0.3216378670416586,47,1,12.0,15,1,0.0,13687.0,0.4019142251771754,0.16314751223788998,0.04347190764959451,0.036604076861255205,0.030101556221231826,0.042595163293636294,0.05099729670490246,0.1090085482574706,0.06414846204427559,0.05801125155256813
19908,6.0,2.0,2.0,1.0,4907.0,237.0,19.0,547.0,289.0,306.0,1176.0,1065.0,965.0,1271.0,1166.0,795.0,0.0995149386584514,68,1,10.0,12,1,4.0,11929.0,0.4113504904015425,0.019867549668874173,0.04585463995305558,0.02422667449073686,0.02565177299019197,0.09858328443289463,0.08927822952468774,0.0808952971749518,0.10654707016514377,0.09774499119792103
29867,2.0,2.0,1.0,1.0,6525.0,640.0,22.0,520.0,493.0,424.0,1537.0,909.0,1144.0,1100.0,1052.0,452.0,0.3266360958001629,41,1,18.0,12,0,5.0,14344.0,0.45489403234802006,0.044617958728388175,0.03625209146681539,0.03436977133296152,0.029559397657557166,0.10715281650864474,0.06337144450641383,0.07975460122699386,0.07668711656441718,0.07334076965978807
39087,4.0,3.0,1.0,1.0,4859.0,1473.0,9.0,466.0,532.0,282.0,469.0,1166.0,1043.0,1104.0,1426.0,511.0,0.0517415178423856,34,0,17.0,12,1,1.0,12820.0,0.37901716068642743,0.11489859594383775,0.03634945397815913,0.041497659906396256,0.021996879875195007,0.03658346333853354,0.09095163806552262,0.08135725429017161,0.08611544461778471,0.11123244929797192
49145,4.0,2.0,1.0,1.0,5377.0,1599.0,22.0,504.0,692.0,245.0,800.0,1183.0,1249.0,903.0,924.0,432.0,0.0347516033378443,45,0,14.0,12,1,0.0,13476.0,0.3990056396556842,0.1186553873552983,0.037399821905609976,0.051350549124369246,0.018180468981893738,0.05936479667557139,0.08778569308400119,0.09268328880973582,0.0670080142475512,0.06856634016028496
