customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary
39634,1.0,1.0,1.0,2.0,18306.0,7106.0,17.0,484.0,604.0,943.0,2226.0,4056.0,2174.0,3946.0,2514.0,32.0,0.0722059013396277,60,0,14.0,12,1
24058,1.0,1.0,0.0,2.0,13419.0,12029.0,18.0,,745.0,1323.0,1459.0,4448.0,1405.0,4334.0,2893.0,110.0,0.0342880859386965,65,1,19.0,12,0
16880,1.0,1.0,1.0,2.0,9213.0,13740.0,13.0,534.0,573.0,2514.0,1985.0,4094.0,1624.0,3588.0,2957.0,82.0,0.0235214706305256,52,1,10.0,15,1
28426,1.0,1.0,0.0,1.0,21753.0,9807.0,17.0,357.0,709.0,986.0,2493.0,3646.0,1863.0,4258.0,3160.0,95.0,0.0788890704425966,33,0,9.0,12,1
37350,1.0,1.0,0.0,1.0,10363.0,8122.0,6.0,517.0,560.0,596.0,2083.0,4027.0,1445.0,4607.0,3406.0,125.0,-0.0068838211245665,45,0,11.0,12,0
35626,1.0,1.0,1.0,1.0,19754.0,8638.0,23.0,554.0,573.0,985.0,1083.0,3997.0,1527.0,3393.0,2517.0,171.0,-0.0784882752635697,35,0,11.0,12,1
46366,1.0,1.0,1.0,1.0,15390.0,397.0,9.0,497.0,620.0,997.0,2469.0,4061.0,2313.0,3837.0,2773.0,104.0,0.026220094120488,78,0,15.0,12,1
32685,1.0,1.0,1.0,1.0,12202.0,3320.0,9.0,473.0,590.0,554.0,2156.0,3122.0,1897.0,3112.0,3516.0,49.0,0.0011191647086712,73,0,16.0,12,1
35858,2.0,1.0,1.0,1.0,20904.0,8034.0,10.0,520.0,980.0,884.0,1900.0,4144.0,2021.0,3624.0,2928.0,37.0,0.1140147481045582,62,0,13.0,12,0
21694,1.0,,1.0,3.0,13411.0,9988.0,8.0,383.0,1054.0,62.0,1430.0,4325.0,1894.0,4183.0,2023.0,8.0,0.2841865963425817,39,1,13.0,12,0
23148,1.0,1.0,0.0,2.0,15539.0,3242.0,8.0,396.0,573.0,1532.0,1252.0,3493.0,2151.0,4010.0,3092.0,124.0,0.1743956905146281,74,1,10.0,12,0
40168,1.0,1.0,0.0,2.0,10150.0,10427.0,14.0,444.0,440.0,138.0,1911.0,3433.0,1907.0,4247.0,2673.0,53.0,-0.0555494782483529,66,0,16.0,12,0
44390,1.0,1.0,1.0,1.0,9209.0,8889.0,9.0,617.0,671.0,1440.0,1681.0,3501.0,2481.0,4272.0,1988.0,66.0,-0.0193533312098319,44,0,19.0,12,1
48048,0.0,1.0,1.0,1.0,10062.0,14107.0,14.0,550.0,841.0,229.0,1869.0,4179.0,1930.0,4026.0,3390.0,189.0,0.1520586858055832,74,0,19.0,12,1
12610,1.0,1.0,0.0,2.0,16920.0,1947.0,17.0,423.0,677.0,1358.0,1782.0,4516.0,2535.0,3641.0,3256.0,143.0,-0.0217521357132323,36,1,14.0,15,1
29451,1.0,1.0,0.0,1.0,10864.0,9035.0,13.0,492.0,724.0,605.0,2234.0,4233.0,1664.0,3958.0,3615.0,83.0,0.0013061246974383,36,0,10.0,12,1
8190,1.0,1.0,1.0,1.0,6947.0,6431.0,8.0,517.0,671.0,1228.0,2044.0,3710.0,1626.0,3146.0,2910.0,218.0,0.2482195271606135,54,1,9.0,17,0
46991,1.0,1.0,0.0,1.0,12907.0,3438.0,23.0,685.0,473.0,1368.0,2164.0,4046.0,2512.0,3877.0,3334.0,140.0,-0.005033216040132,61,0,12.0,12,1
25940,1.0,1.0,1.0,1.0,22997.0,9017.0,,453.0,517.0,632.0,2035.0,2981.0,1951.0,3868.0,1930.0,63.0,0.0524773187023054,62,0,13.0,12,1
20125,1.0,1.0,1.0,1.0,18745.0,12099.0,9.0,594.0,520.0,1298.0,1661.0,4151.0,1493.0,3924.0,2791.0,40.0,0.0326740336529689,43,1,11.0,17,0
23301,1.0,1.0,1.0,2.0,19853.0,1597.0,12.0,569.0,603.0,787.0,2614.0,3454.0,1423.0,3835.0,3370.0,58.0,0.0974835032741821,53,1,11.0,12,0
27702,1.0,1.0,1.0,1.0,14293.0,7349.0,18.0,457.0,587.0,671.0,2147.0,4043.0,1730.0,3571.0,2670.0,128.0,0.0971129702426748,58,0,17.0,12,0
21318,1.0,1.0,1.0,1.0,12630.0,6296.0,15.0,575.0,679.0,1655.0,2418.0,4108.0,1914.0,4437.0,2449.0,88.0,0.0583138114932505,56,1,13.0,12,1
14772,1.0,1.0,0.0,1.0,20260.0,9910.0,6.0,483.0,693.0,440.0,2613.0,4320.0,2524.0,3302.0,3566.0,86.0,0.1555881991252088,66,1,18.0,15,1
7922,1.0,1.0,0.0,1.0,14466.0,10595.0,17.0,447.0,316.0,749.0,2216.0,,2271.0,3971.0,3436.0,3.0,0.1024512016632689,76,1,18.0,17,0
47139,1.0,1.0,1.0,1.0,16218.0,111.0,,671.0,475.0,1046.0,2004.0,3498.0,2463.0,3659.0,2683.0,102.0,0.1217890243474936,37,0,14.0,12,1
34001,1.0,1.0,1.0,1.0,18463.0,9435.0,11.0,650.0,702.0,1150.0,1854.0,4337.0,1874.0,3468.0,3063.0,103.0,0.0673336066988498,27,0,4.0,12,0
32484,1.0,1.0,0.0,1.0,6739.0,7865.0,17.0,344.0,422.0,241.0,2034.0,3946.0,1653.0,4480.0,2946.0,112.0,0.1511042241365754,75,0,12.0,12,0
42903,1.0,1.0,1.0,1.0,13951.0,11831.0,17.0,529.0,422.0,181.0,2958.0,4141.0,1805.0,3248.0,3256.0,165.0,0.1378951325969678,47,0,13.0,12,0
32428,1.0,1.0,0.0,1.0,6423.0,14764.0,14.0,392.0,458.0,1281.0,1667.0,3340.0,1748.0,3946.0,3258.0,152.0,0.0317580824237484,64,0,14.0,12,0
