customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,percentage_of_products_bought_promotion,age,loyalty_member,years_as_customer,educ_years,gender_binary
43460,1.0,0.0,1.0,2.0,5015.0,1334.0,8.0,344.0,374.0,1217.0,1068.0,1925.0,2115.0,1028.0,1987.0,2566.0,0.2062268755903822,36,0,10.0,12,0
23937,0.0,1.0,1.0,3.0,3097.0,4073.0,10.0,301.0,852.0,1731.0,446.0,2347.0,1306.0,1504.0,2018.0,1282.0,0.1361682157061046,55,1,15.0,12,0
15019,1.0,0.0,0.0,3.0,5164.0,448.0,7.0,411.0,598.0,1202.0,1931.0,,2410.0,817.0,2170.0,903.0,0.3834562613322854,61,1,19.0,12,0
42461,1.0,1.0,1.0,2.0,1996.0,2138.0,9.0,295.0,950.0,456.0,1433.0,1677.0,2279.0,1237.0,2052.0,1014.0,0.2504348834297896,76,0,16.0,12,0
18510,0.0,0.0,0.0,2.0,3338.0,580.0,10.0,268.0,746.0,700.0,1458.0,2071.0,2105.0,1218.0,2317.0,1051.0,0.1392924351246277,54,1,19.0,12,0
35254,0.0,0.0,1.0,2.0,4832.0,2186.0,8.0,216.0,593.0,560.0,1022.0,1980.0,1742.0,1019.0,2418.0,727.0,0.22850994624073,74,1,16.0,12,1
49813,1.0,1.0,1.0,2.0,4100.0,4080.0,7.0,405.0,473.0,1312.0,1307.0,1650.0,1922.0,1280.0,1926.0,21.0,0.2388454262249015,73,0,23.0,12,0
22350,1.0,1.0,2.0,2.0,7082.0,1301.0,11.0,199.0,235.0,1563.0,878.0,1878.0,1734.0,929.0,2030.0,1972.0,0.3166292663051073,34,1,11.0,12,1
39132,1.0,1.0,1.0,3.0,4672.0,2375.0,8.0,394.0,942.0,733.0,941.0,2458.0,2265.0,1253.0,2496.0,0.0,0.4427329931397319,37,1,19.0,12,0
46314,1.0,1.0,1.0,1.0,6384.0,4439.0,12.0,323.0,803.0,785.0,1057.0,2727.0,2506.0,1121.0,1791.0,1593.0,0.2144702234327338,67,0,23.0,12,1
20325,1.0,0.0,1.0,2.0,5662.0,762.0,7.0,361.0,347.0,884.0,1451.0,1329.0,1728.0,952.0,1822.0,2023.0,0.1886031853012966,78,1,17.0,12,0
21840,2.0,1.0,0.0,2.0,5497.0,564.0,6.0,350.0,357.0,13.0,1181.0,1508.0,2261.0,986.0,1799.0,1383.0,0.233368629998878,29,1,6.0,12,1
22643,1.0,1.0,2.0,2.0,4125.0,2224.0,7.0,384.0,601.0,807.0,849.0,1319.0,2328.0,1001.0,1738.0,1743.0,0.0284573541562302,78,1,21.0,12,0
39703,0.0,1.0,1.0,3.0,4903.0,3139.0,8.0,328.0,279.0,381.0,1319.0,2069.0,2727.0,937.0,2126.0,78.0,0.2445801702677538,74,1,14.0,12,1
5338,1.0,1.0,1.0,1.0,3205.0,3427.0,9.0,393.0,585.0,702.0,756.0,2359.0,2500.0,775.0,2313.0,123.0,0.2295491710322346,37,1,10.0,15,1
14456,1.0,0.0,1.0,1.0,5938.0,399.0,14.0,274.0,947.0,1068.0,169.0,2045.0,2412.0,1273.0,1830.0,129.0,0.2902935942391986,38,1,19.0,17,1
39959,1.0,0.0,1.0,2.0,5996.0,1433.0,17.0,398.0,308.0,789.0,856.0,1973.0,2442.0,1051.0,1994.0,1055.0,0.416414805131166,33,0,13.0,12,0
31437,1.0,1.0,2.0,3.0,7299.0,666.0,17.0,214.0,574.0,1039.0,1258.0,1921.0,1836.0,499.0,2158.0,905.0,0.0300300388572292,81,1,13.0,12,1
13597,2.0,0.0,1.0,2.0,5454.0,1757.0,7.0,358.0,688.0,328.0,1134.0,1101.0,2016.0,1444.0,1717.0,1154.0,0.279132764177578,52,1,16.0,17,0
17715,0.0,1.0,1.0,2.0,4229.0,4685.0,8.0,171.0,717.0,1072.0,217.0,2682.0,1799.0,663.0,2269.0,258.0,0.1467605581351899,80,1,14.0,12,0
11791,1.0,1.0,2.0,2.0,3345.0,721.0,17.0,473.0,933.0,492.0,501.0,1831.0,2067.0,1191.0,1917.0,2233.0,0.096426908485464,56,1,18.0,17,0
25752,1.0,1.0,1.0,2.0,5158.0,1071.0,9.0,278.0,544.0,568.0,1448.0,1599.0,2623.0,992.0,2834.0,69.0,0.3044892722641882,65,1,17.0,12,1
23964,1.0,1.0,1.0,2.0,4815.0,725.0,7.0,336.0,809.0,744.0,908.0,2001.0,2811.0,1239.0,1900.0,737.0,0.3184185402963297,83,1,15.0,12,0
49303,1.0,0.0,1.0,3.0,3698.0,4418.0,11.0,237.0,165.0,1640.0,1186.0,1906.0,2098.0,1152.0,2112.0,1448.0,0.3609523878483565,32,0,14.0,12,0
12182,1.0,1.0,1.0,2.0,4642.0,747.0,,508.0,809.0,1371.0,498.0,,2371.0,589.0,1882.0,946.0,0.1624431953022128,35,1,13.0,17,1
33179,0.0,0.0,2.0,3.0,4340.0,1857.0,11.0,294.0,525.0,1358.0,638.0,1609.0,2163.0,50.0,1909.0,1091.0,0.1716281444276436,60,1,18.0,12,0
3433,2.0,0.0,2.0,2.0,5434.0,790.0,6.0,368.0,587.0,823.0,808.0,1971.0,2266.0,961.0,1705.0,634.0,0.3604051285123033,39,1,19.0,20,1
3053,1.0,0.0,2.0,2.0,6719.0,2033.0,7.0,364.0,156.0,923.0,1108.0,2208.0,2297.0,1538.0,2028.0,2500.0,0.0411866023889534,75,1,16.0,15,1
4072,1.0,0.0,1.0,2.0,3675.0,259.0,9.0,413.0,731.0,1045.0,1247.0,1633.0,1800.0,1253.0,2121.0,1538.0,0.3180904373195581,35,1,14.0,15,0
28454,0.0,1.0,1.0,1.0,4182.0,2611.0,12.0,317.0,558.0,875.0,1308.0,1480.0,2302.0,1061.0,1471.0,1592.0,0.1842873185905825,59,1,16.0,12,0
8834,1.0,0.0,1.0,1.0,8431.0,1044.0,8.0,280.0,1070.0,892.0,1470.0,1485.0,1834.0,997.0,2334.0,122.0,0.1429938159784293,60,1,17.0,15,1
44902,1.0,0.0,3.0,2.0,7060.0,1811.0,11.0,290.0,656.0,1141.0,2023.0,2751.0,2214.0,924.0,2084.0,389.0,0.0835980023495466,33,0,11.0,12,1
5054,1.0,1.0,2.0,2.0,4039.0,2616.0,12.0,272.0,817.0,1150.0,1202.0,2373.0,2575.0,782.0,1897.0,2817.0,0.0970894380951205,50,1,19.0,20,0
21282,1.0,1.0,1.0,1.0,5357.0,1738.0,10.0,327.0,368.0,1426.0,649.0,2369.0,2068.0,899.0,1765.0,1056.0,0.3070459482434228,52,1,14.0,12,0
38221,1.0,1.0,1.0,2.0,4986.0,36.0,10.0,290.0,491.0,1141.0,573.0,1993.0,2790.0,1192.0,2146.0,864.0,0.1318030878506864,37,1,14.0,12,0
20927,2.0,1.0,2.0,1.0,5717.0,2948.0,10.0,582.0,563.0,768.0,293.0,1590.0,2070.0,786.0,1888.0,2468.0,0.1320874861079363,49,1,19.0,12,0
3054,1.0,1.0,1.0,3.0,5740.0,1091.0,9.0,105.0,465.0,972.0,993.0,1750.0,2327.0,670.0,2159.0,1525.0,0.1375255084861584,79,1,18.0,20,1
905,0.0,0.0,2.0,4.0,5202.0,2156.0,6.0,367.0,723.0,1221.0,1131.0,2079.0,1978.0,977.0,2220.0,72.0,0.0272728746136303,79,1,21.0,15,0
10697,1.0,1.0,0.0,2.0,5494.0,700.0,7.0,370.0,638.0,1407.0,1326.0,2099.0,1560.0,696.0,2419.0,592.0,0.1078818273136525,70,1,22.0,20,1
13334,0.0,0.0,1.0,3.0,3880.0,2183.0,10.0,261.0,741.0,938.0,747.0,2761.0,2000.0,1111.0,1465.0,902.0,0.2245621429337972,38,1,16.0,15,0
10577,2.0,0.0,1.0,2.0,5619.0,1530.0,9.0,224.0,754.0,1072.0,430.0,1690.0,2273.0,1456.0,2192.0,585.0,0.2215674694762062,26,1,4.0,15,0
36405,1.0,2.0,1.0,2.0,2586.0,898.0,10.0,370.0,673.0,432.0,1122.0,1500.0,1798.0,1312.0,2285.0,795.0,0.2293657398723497,82,1,15.0,12,1
17146,1.0,1.0,1.0,2.0,6887.0,3776.0,8.0,437.0,485.0,939.0,404.0,1476.0,2260.0,1050.0,2029.0,1220.0,0.3320274664633864,51,1,15.0,12,1
5641,1.0,1.0,1.0,2.0,3508.0,4413.0,7.0,242.0,974.0,1226.0,1150.0,2449.0,2115.0,681.0,2164.0,931.0,0.1094560215655774,37,1,17.0,15,0
35098,1.0,1.0,1.0,,1255.0,5633.0,10.0,234.0,374.0,1219.0,463.0,1816.0,1851.0,1093.0,2303.0,1327.0,0.1516356350218736,72,1,22.0,12,0
12049,1.0,1.0,1.0,2.0,4465.0,2891.0,17.0,491.0,1006.0,1033.0,1401.0,2309.0,1178.0,1405.0,1506.0,209.0,0.1626190843754253,45,1,15.0,17,1
30987,1.0,,1.0,3.0,5485.0,2430.0,8.0,529.0,671.0,1110.0,1181.0,2812.0,1467.0,934.0,2467.0,378.0,0.1658491970295038,40,1,21.0,12,0
4375,2.0,0.0,0.0,2.0,5711.0,394.0,9.0,27.0,768.0,970.0,980.0,1614.0,2191.0,754.0,1910.0,1667.0,0.1881080896448961,53,1,17.0,15,1
27355,1.0,1.0,1.0,1.0,4429.0,814.0,8.0,402.0,687.0,820.0,92.0,2310.0,1393.0,1248.0,1896.0,2203.0,0.2237886314175862,84,1,19.0,12,0
25747,1.0,1.0,1.0,2.0,4260.0,2698.0,8.0,450.0,371.0,1029.0,1509.0,2578.0,2028.0,1429.0,2217.0,533.0,0.0902741651935941,72,1,19.0,12,1
36625,1.0,1.0,1.0,2.0,3834.0,2115.0,8.0,266.0,598.0,833.0,1924.0,1676.0,1987.0,1715.0,1666.0,966.0,0.2466297700647136,81,1,13.0,12,1
27799,1.0,1.0,0.0,2.0,6008.0,2351.0,10.0,225.0,844.0,799.0,845.0,,2168.0,576.0,1744.0,738.0,0.2588527240704567,57,1,18.0,12,0
37942,1.0,0.0,1.0,2.0,6977.0,2870.0,9.0,111.0,570.0,33.0,215.0,1600.0,2574.0,750.0,2187.0,1170.0,0.3397423600385925,66,1,18.0,12,0
21157,0.0,1.0,1.0,2.0,6738.0,3054.0,8.0,379.0,852.0,1919.0,1143.0,2048.0,2189.0,667.0,1637.0,929.0,0.3356484395497028,67,1,13.0,12,1
34757,1.0,1.0,1.0,2.0,3237.0,2774.0,8.0,412.0,352.0,1017.0,559.0,1741.0,2729.0,849.0,2195.0,830.0,0.0586913089411652,23,1,1.0,12,0
40825,2.0,,1.0,2.0,7939.0,1321.0,13.0,301.0,625.0,1578.0,1575.0,1658.0,1297.0,790.0,2662.0,1934.0,-0.0459085204251716,42,0,20.0,12,1
